Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
8178,0,-0.0723207233545011,-0.023065139588503,-0.11266106616527,-0.0735030807599139,-0.0763420366702541,-0.0812754162420734,-0.141650062079774,-0.109155665778634,-0.0450594542364861,-0.0254049499596747
8179,0,-0.0295565192286595,-0.0100374230601279,-0.101179271000302,-0.0687067202917031,-0.0778495306836228,-0.0919761363183245,-0.137174804650309,-0.0992865324785083,-0.0690961619298905,-0.00466193849334029
8180,0,-0.0655805048972261,-0.0770870919637131,-0.150942687199468,-0.136693036268391,-0.159610730491611,-0.180213291292609,-0.157436710346722,-0.0800338500449699,-0.117063166634213,-0.0204701704879905
8181,0,-0.0626422172065947,-0.0455487407866103,-0.105730867162344,-0.0927054677666405,-0.1287100115386,-0.149342240843657,-0.151967894194332,-0.0423336344668328,-0.0793307991961033,-0.0258412209779885
8182,0,-0.0845576782826165,-0.0594336825276712,-0.138516242700871,-0.0986230114541788,-0.134780629464171,-0.147926921252419,-0.155034331710675,-0.0503421416970953,-0.0796587544153377,-0.0178138337886966
8183,0,-0.0572483911486991,-0.0414449284033516,-0.116749768965467,-0.0855932512509872,-0.104419792713466,-0.123855012372591,-0.145686100030728,-0.092766365838662,-0.106186981410414,-0.0130013404126708
8184,0,-0.0212943403700119,-0.0104122753519821,-0.092933792150458,-0.0737902159170296,-0.081193071100776,-0.0997905445111413,-0.135082664763529,-0.10106952531506,-0.0802093973430431,0.00532751657937003
8185,0,-0.100515433512863,-0.0819110966816541,-0.183158169945568,-0.143844296878997,-0.183996688845256,-0.194732287191955,-0.167270928532272,-0.0762393223644202,-0.110351066670183,-0.0189828973056044
8186,0,-0.0263480202941072,-0.0436592087457942,-0.0901537407969298,-0.0876480333600689,-0.116109493729382,-0.12973473887582,-0.143214339226115,-0.0536563469162011,-0.0859032346746527,-0.0115408039970351
8187,0,-0.030042948969361,-0.0330236203763494,-0.0750711327429737,-0.0672106427939549,-0.0989020467624182,-0.109823807322987,-0.137763362896761,-0.0395227181197383,-0.0608742545567591,-0.0157402245658512
8188,0,-0.0364273172643353,-0.0325881945321127,-0.0763246266946281,-0.0638468193555746,-0.089008478536083,-0.102852618836824,-0.136041147330432,-0.0610220531055184,-0.0709535275911808,-0.0220456455523076
8189,0,-0.0217522524856814,-0.0127920477410657,-0.086557191708339,-0.0747689334996516,-0.084003304614491,-0.099840182784564,-0.130334609882683,-0.1036997970878,-0.0751663208296722,0.0096507739077365
8190,0,-0.0822924471766961,-0.0694207885534567,-0.13712388593353,-0.129160407625102,-0.148790635273304,-0.174753212863828,-0.1452079189855,-0.0725423411601611,-0.0872929485848265,-0.0361917219444253
8191,0,-0.049184549781941,-0.0187819085653522,-0.0966704666173932,-0.0728557576945654,-0.0833756879740121,-0.0940227839390986,-0.119501050100466,-0.116265104560137,-0.0453768085542465,-0.00176947441227537
8192,0,-0.0868507130630932,-0.0795179634860104,-0.140794313762617,-0.146920252924973,-0.148989338593226,-0.18181414853001,-0.138185752327537,-0.086577050225541,-0.0827858331499221,-0.0438170861787787
8193,0,-0.0728059568777026,-0.024357800659158,-0.0975068412355699,-0.0725228543991864,-0.0803352390492473,-0.0832724150863295,-0.112212926786174,-0.140592844737991,-0.0174136680608141,-0.0183545303317743
8194,0,-0.0943485052393539,-0.0878448782783485,-0.149485487444157,-0.15897830547904,-0.165190768784047,-0.190123652377996,-0.139314701724861,-0.0893209858580096,-0.0820042387451362,-0.0412448378863451
